StandardAmount,Ingredient,Staple
1 cup,Stout Beer,Beer
2 sticks,Unsalted Butter,Butter
.75 cups,Dutch-process Cocoa Powder,Cocoa Powder
2 cups,All-Purpose Flour,Flour
2 cups,Granulated Sugar,Sugar
1.5 teaspoons,Baking Soda,Baking Soda
.75 teaspoons,Table Salt,Salt
2,Eggs,Eggs
.66 cups,Sour Cream,Sour Cream
8 ounces,Bittersweet Chocolate,Chocolate
.66 cups,Heavy Cream,Cream
2 teaspoons,Unsalted Butter,Butter
2 teaspoons,Jameson,Whiskey
4 cups,Powdered Sugar,Sugar
1 stick,Unsalted Butter,Butter
4 tablespoons,Bailey's,Liquor
